,text,n_tokens
10,"WebSquare.uiplugin.fwSparkChart는 FusionWidget에 포함된 7종의 차트 중 하나로, 실제 차트에 보여줄 값과 스타일 옵션들이 하나로 결합되어 있는 형태입니다. WebSquare5는 차트를 쉽게 Customizing 할 수 있도록 API를 지원하며, 각 차트에 대한 자세한 내용은 FusionCharts 공식 홈페이지에서 확인 가능합니다. 
fwSparkChart의 웹접근성 지원 여부, 차트 유형, 컴포넌트 ID, label 데이터로 사용할 DataCollection의 column의 ID값, fwSparkChart와 DataCollection 데이터 연동 시 사용하는 속성 등이 제공됩니다. 또한, fwSparkChart를 화면에 출력하거나 export하는 함수, 속성 값을 반환하는 함수, 이벤트를 동적으로 할당하거나 제거하는 함수 등이 제공됩니다. 
이외에도, CSS class를 추가하거나 삭제하는 함수, 컴포넌트의 위치나 크기를 설정하는 함수, 데이터를 변경하는 함수 등이 제공됩니다. 이를 통해 사용자는 fwSparkChart를 쉽게 커스터마이징할 수 있습니다.",324
11,"이 문서는 웹스퀘어 컴포넌트의 공통적인 기능들에 대한 설명을 제공합니다. 각 함수들의 파라미터, 반환값, 예제 코드 등이 포함되어 있습니다.
함수들은 다음과 같습니다.
- addClass(className): 컴포넌트에 클래스를 추가합니다.
- bind(eventType, function): 컴포넌트에 이벤트와 핸들러 함수를 동적으로 할당합니다.
- changeClass(oldClassName, newClassName): 컴포넌트의 클래스를 변경합니다.
- draw(): fwSparkChart를 화면에 출력합니다.
- exportJSChart(): fwSparkChart를 jpg, png, pdf 형식으로 export합니다.
- fc(): fwSparkChart 타입의 fusionWidget 객체를 반환합니다.
- focus(): 웹스퀘어 컴포넌트에 포커스를 줍니다.
- getChartAttribute(name): fwSparkChart의 attribute 값을 반환합니다.
- getDisabled(): 현재 웹스퀘어 컴포넌트에 설정된 disabled 속성 값을 반환합니다.
- getGenerator(): 컴포넌트가 Generator에 의해 생성된 경우, 자신을 생성한 부모 Generator 객체를 반환합니다.
- getID(): 웹스퀘어 컴포넌트의 ID를 반환합니다.
- getInitStyle(CSS): 컴포넌트의 초기 스타일을 반환합니다.
- getJSONData(): fwSparkChart의 차트 데이터를 JSON 객체로 반환합니다.
- getOpacity(): 웹스퀘어 컴포넌트의 불투명도를 반환합니다.
- getOriginalID(): 웹스퀘어 컴포넌트의 originalID를 반환합니다.
- getPluginName(): 웹스퀘어 컴포넌트의 이름(pluginName)을 반환합니다.
- getPosition(positionName): 웹스퀘어 컴포넌트의 위치(left, top)를 반환합니다.
- getReadOnly(): 현재 웹스퀘어 컴포넌트에 설정된 readOnly 속성 값을 반환합니다.
- getScope(): scope=""true""인 WFrame의 자식 컴포넌트인 경우, 부모 WFrame 객체를 반환합니다.
- getScopeWindow(): scope=""true""인 WFrame의 자식 컴포넌트인 경우, 부모 WFrame 객체를 반환합니다. scope=""true""인 WFrame의 자식 컴포넌트가 아닌 경우, 전역 window 객체를 반환합니다.
각 함수들의 파라미터와 반환값, 예제 코드 등이 자세히 설명되어 있습니다.",669
12,"이 함수들은 웹스퀘어 컴포넌트에서 사용 가능한 함수들이다. getSize 함수는 웹스퀘어 컴포넌트의 크기를 반환하며, getStyle 함수는 웹스퀘어 컴포넌트의 CSS 속성 값을 반환한다. getSVGString 함수는 차트로부터 SVG를 string 형태로 반환하며, getTitle 함수는 컴포넌트의 title 속성 값을 반환한다. getUdcHome 함수는 UDC 객체가 자신을 정의한 UDC 파일 경로를 파일명을 포함해서 반환하며, getUdcRoot 함수는 파일명을 포함하지 않은 경로를 반환한다. getUserData 함수는 웹스퀘어 컴포넌트에 설정한 key의 value를 반환하며, hasClass 함수는 웹스퀘어 컴포넌트가 특정 class를 포함하고 있는지 확인한다. hide 함수는 웹스퀘어 컴포넌트를 화면에서 숨기며, removeClass 함수는 웹스퀘어 컴포넌트에서 class를 삭제한다. setAccessibility 함수는 fwSparkChart에 웹접근성을 지원하며, setChartAttribute 함수는 fwSparkChart의 attribute의 value값을 변경한다. setChartColumnRef 함수는 fwSparkChart의 DataCollection 바인딩 속성을 셋팅하며, setChartColumnSimpleRef 함수는 seriesType이 simple인 차트의 fwSparkChart dataList 바인딩 속성을 셋팅한다. setDisabled 함수는 웹스퀘어 컴포넌트의 disabled 속성을 설정하며, setEventPause 함수는 지정한 이벤트를 중단한다. setInitStyle 함수는 컴포넌트의 초기 스타일을 복구한다.",477
13,"initStyle 속성을 true로 설정한 컴포넌트만 유효하게 동작한다. property 속성을 지정하지 않으면 모든 속성의 초기 값으로 복구된다. setJSONData(json)은 지정된 json 객체로 fwSparkChart의 차트 데이터를 변경한다. setOpacity(value)는 웹스퀘어 컴포넌트의 불투명도를 설정하며, 값은 0과 1 사이의 실수이다. setPosition(left, top, mode)은 웹스퀘어 컴포넌트의 위치를 설정한다. mode는 위치 설정 방법으로, absolute와 delta가 있다. setReadOnly(readOnly)는 웹스퀘어 컴포넌트의 readOnly 속성을 설정한다. setSize(width, height)는 웹스퀘어 컴포넌트의 크기를 설정한다. setStyle(propertyName, value)는 웹스퀘어 컴포넌트의 CSS 속성을 설정한다. setUserData(key, value)는 웹스퀘어 컴포넌트에 임의의 데이터를 설정한다. show(displayType)는 웹스퀘어 컴포넌트를 화면에 표시한다. toggleClass(className)는 웹스퀘어 컴포넌트에서 특정 class를 제거하거나 추가한다. trigger(type, array)는 컴포넌트에서 특정 이벤트를 발생시킨다. unbind(type, function)은 컴포넌트에서 이벤트를 제거한다. visible(flag)는 엔진 내부적으로 CSS visibility 속성을 설정한다.",436
14,"WebSquare.uiplugin.accordion은 여러 개의 패널에 컨텐츠를 표시할 수 있는 아코디언 컴포넌트입니다. 각 패널은 서로 다른 컨텐츠를 담고 있으며, 추가, 삭제, 열기/닫기가 가능합니다. 이 컴포넌트는 서로 다른 컨텐츠를 패널 별로 분리해서 한 화면에 표시할 때 유용합니다.
이 컴포넌트의 속성 중 일부는 다음과 같습니다. accessibility는 웹접근성 지원 여부를 나타내며, class는 HTML의 class 속성과 동일한 기능을 제공합니다. collapseAll은 컴포넌트를 처음 로딩할 때, 모든 패널이 닫혀 있도록 설정하며, collapsible은 패널의 타이틀을 클릭할 경우, 패널이 닫힐 수 있도록 설정합니다. enterKeyPanelToggle은 enter key로 panel 열고 닫기를 사용할지 여부를 결정합니다. id는 컴포넌트 ID를 나타내며, independentPanel은 패널 클릭시 다른 패널의 열림/닫힘 상태에 영향을 주지 않는 속성입니다.
이 컴포넌트의 메소드 중 일부는 다음과 같습니다. addClass는 컴포넌트에 CSS class를 추가하며, bind는 컴포넌트에 이벤트와 핸들러 함수를 동적으로 할당합니다. closePanel은 패널을 닫으며, focus는 컴포넌트에 포커스를 줍니다. getDisabled는 현재 컴포넌트에 설정된 disabled 속성 값을 반환하며, getID는 컴포넌트의 ID를 반환합니다. openPanel은 패널을 열어주며, removeClass는 컴포넌트에서 class를 삭제합니다. setDisabled는 컴포넌트의 disabled 속성을 설정하며, setPanelTitle은 패널의 Title을 설정합니다. trigger는 컴포넌트에서 특정 이벤트를 발생시키며, unbind는 컴포넌트에서 이벤트를 제거합니다.",639
15,"Accordion 컴포넌트는 각 패널을 클릭하여 열고 닫을 수 있는 UI 컴포넌트입니다. Script에서는 각 컴포넌트 ID를 통해 해당 컴포넌트에 접근할 수 있습니다. independentPanel 속성은 패널 클릭시 다른 패널의 열림/닫힘 상태에 영향을 주지 않는 속성입니다. panelMoveSpeed 속성은 패널을 클릭하거나 openPanel 혹은 closePanel 함수를 이용하여 패널의 열고 닫히는 속도를 설정합니다. selectedPanel 속성은 panel id를 입력받아 맨 처음 열릴 panel을 설정합니다. tabIndex 속성은 Tab 키를 이용하여 포커스를 변경할 경우, 해당 컴포넌트에 포커스를 주는 순서를 설정합니다. titleDivTag 속성은 Accordion 컴포넌트를 처음 로딩할 때, 모든 패널의 태그를 <div>로 변경합니다. unCollapseAll 속성은 Accordion 컴포넌트를 처음 로딩할 때, 모든 패널이 펼쳐져 있도록 설정합니다.
이벤트 Detail에서는 onclick 이벤트가 발생할 때의 Parameter와 Method를 설명합니다. Parameter는 클릭된 패널 객체와 클릭된 패널의 열림 여부입니다. Method에서는 addClass, bind, changeClass, closePanel, focus, getDisabled, getGenerator, getID, getInitStyle, getOpacity, getOpenPanelInfo, getOpenPanelListInfo, getOriginalID, getPanelInfo, getPluginName, getPosition 등의 함수를 설명합니다. 이 함수들은 각각의 기능을 수행하며, 예제 코드를 통해 사용 방법을 설명합니다.",494
16,"이 기술 문서는 웹스퀘어 컴포넌트에서 사용 가능한 메소드들에 대한 설명을 제공합니다. 각 메소드는 해당 기능을 수행하며, 필요한 파라미터와 반환 타입이 명시되어 있습니다. 
- getPosition(positionName): 컴포넌트의 위치 값을 반환합니다. 
- getReadOnly(): 현재 웹스퀘어 컴포넌트에 설정된 readOnly 속성 값을 반환합니다. 
- getScope(): scope=""true""인 WFrame의 자식 컴포넌트인 경우, 부모 WFrame 객체를 반환합니다. 
- getScopeWindow(): scope=""true""인 WFrame의 자식 컴포넌트인 경우, 부모 WFrame 객체를 반환합니다. 
- getSize(sizeName): 웹스퀘어 컴포넌트의 크기(width, height)를 반환합니다. 
- getStyle(propertyName): 웹스퀘어 컴포넌트의 CSS 속성 값을 반환합니다. 
- getStyleValue(style): [deprecated] 웹스퀘어 컴포넌트에 적용된 해당 CSS 속성 값을 반환합니다. 
- getTitle(): 컴포넌트의 title 속성 값을 반환합니다. 
- getUdcHome(): UDC 객체가 자신을 정의한 UDC 파일 경로를 파일명을 포함해서 반환합니다. 
- getUdcRoot(): UDC 객체가 자신을 정의한 UDC 파일 경로를 반환합니다. 
- getUserData(key): setUserData로 웹스퀘어 컴포넌트에 설정한 key의 value 혹은 사용자가 직접 페이지 소스(XML)에 속성으로 정의한 value를 반환합니다. 
- hasClass(className): 웹스퀘어 컴포넌트가 특정 class를 포함하고 있는지 확인합니다. 
- hide(): 웹스퀘어 컴포넌트를 화면에서 숨깁니다. 
- openPanel(id): ID에 해당하는 Panel을 엽니다. 
- removeClass(className): 웹스퀘어 컴포넌트에서 class를 삭제합니다. 
- setColor(options): 패널 title 배경색 변경, borderColor : 아코디언 border색 변경 
- setDisabled(disabled): 웹스퀘어 컴포넌트의 disabled 속성을 설정합니다. 
- setDisabledPanel(id, flag): 개별 패널을 잠금 시킵니다. 
각 메소드의 사용 방법과 예제 코드는 해당 메소드의 설명에서 확인할 수 있습니다.",669
17,"해당 문서는 웹스퀘어 컴포넌트에서 사용 가능한 메소드들에 대한 설명을 제공하고 있다. 각 메소드들은 해당 컴포넌트의 속성을 변경하거나 이벤트를 발생시키는 등의 기능을 수행한다. 메소드들은 각각의 파라미터를 가지며, 이를 통해 메소드가 수행할 작업을 지정할 수 있다. 
메소드들 중에서는 disable 처리를 수행하는 메소드는 없으며, 이를 위해서는 각 패널과 하위 컴포넌트들을 개별적으로 disable 처리해야 한다. 
또한, visible 메소드는 deprecated 되었으며, 대신 show/hide 혹은 setStyle을 사용하는 것이 권장된다. 
각 메소드들은 예제 코드를 통해 사용 방법을 보여주고 있다.",256
18,"파라미터 이름: flag
타입: Boolean
필수 여부: Y
설명: CSS visibility 속성 값을 설정합니다. true일 경우 visibility: visible; false일 경우 visibility: hidden;으로 설정됩니다.",55
19,"WebSquare.uiplugin.article은 HTML5의 Article과 동일한 기능을 제공하는 UI 플러그인으로, class와 id 속성을 이용하여 CSS를 제어할 수 있습니다. 각 컴포넌트는 내부에서 지정된 class를 적용하며, Script에서 해당 컴포넌트에 접근하기 위해 컴포넌트 ID를 사용할 수 있습니다. 이 UI 플러그인은 Property, Event, Method를 제공합니다. Property는 class와 id 속성을 제어하는 기능을 제공하며, Event와 Method는 각각 이벤트와 메소드를 제어하는 기능을 제공합니다.",177
