,유형,component,name,description,parameter,return,exception,sample,built since,built last
10,method,$p,deleteSubmission,submission을 삭제합니다.,submissionID	String	Y	삭제하고자 하는 submission의 ID,	,,"<xmp  class='js sample'>$p.deleteSubmission( ""submission1"" );
//""submission1""에 해당하는 submssion이 삭제됩니다. 이후 $p.executeSubmission(""submission1"");을 호출하면 아무 동작을 하지 않게 됩니다.</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
11,method,$p,download,download 모듈이 구현된 서버의 URL을 호출하여 다운로드 가능한 인터페이스를 화면에서 제공합니다.,"actionUrl	String	Y	파일 다운로드가 구현되어있는 url.
XML	String	N	문자열은 xmlValue라는 이름으로 서버로 올라간다. 값을 지정하지 않은 경우(undefined인 경우) xmlValue라는 값은 제외하고 서버로 전송한다.
sendMethod	String	N	get, post와 같은 전송 방식, 기본값은 post이다.
isXHR	String	Y	xhr 통신 유무 (기본값은 false)",	,,"<xmp  class='js sample'>var url = ""/download.do""        //파일 다운로드가 구현 되어있는 서버 url. ( 웹스퀘어의 기본 모듈에는 제공되지 않는다)
$p.download( url );</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
12,method,$p,dynamicCreate,"wframe의 자식 화면에서 $p.dynamicCreate를 호출할 때, wframe prefix가 자동으로 붙여지며 생성된 객체는 wframe의 scope로 등록됩니다.","id	String	Y	element의 id
tagName	String	Y	element의 tagName
options	Object	Y	element의 생성 옵션
parent	Object	Y	element의 상위 노드
itemSet	Object	Y	element의 itemset",Object	생성된 웹스퀘어 element,,"<xmp  class='js sample'>
 // Group 내에 Input 및 Calendar 컴포넌트를 동적으로 생성하는 예
 
 // Group 컴포넌트 생성
 
 $p.dynamicCreate(""group1"", ""group"", {
     style: ""border: solid black; width:300px; height:400px; float:left; margin : 20px;""
 });
 
 // Group 내에 Input 생성
 
 $p.dynamicCreate(""input1"", ""input"", {
     style: ""width:120px; height:40px; float:left; margin : 20px;""
 }, group1);
 var comObj = WebSquare.util.getComponentById(""input1"");
 comObj.setValue(""Input"");
 
 // Group 내에 Calendar 생성
 
 $p.dynamicCreate(""calendar1"", ""calendar"", {
     style: ""border: solid gray; width:120px; height:120px; float: left; margin : 20px;""
 }, group1);
</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
13,method,$p,executeParallel,"기존 submission들을 병렬적으로 처리하며 workflow를 생성하지 않고 순서를 보장하고 싶을 때 사용합니다. 예를 들면, submission1을 호출하고 submission2를 호출한 뒤, submission1 콜백 함수와 submission2 콜백 함수가 각각 순서대로 호출됩니다.","submission	array	Y	id array  ex) [""submission1"", ""submission2"", ""submission3""]
processMsg	String	N	
resolveCallback	function	N	function
rejectCallback	function	N	function
id	String	N",	,,"<xmp  class='js sample'>$p.executeParallel( [""submission1"", ""submission2"", ""submission3""],""processMsg"", final_callback, reject_callback, id) ;
//submission1,submission2, submission3 call 
// -> submission1 callback -> submission2 callback -> submission3 callback
// -> final_callback or reject_callback</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
14,method,$p,executeSerial,"""Workflow를 생성하지 않고, 순서를 보장하여 기존 서브미션들을 직렬로 처리하려는 경우 사용합니다. 예를 들어, 서브미션1 호출 → 서브미션1 콜백 → 서브미션2 호출 → 서브미션2 콜백 순서로 처리할 수 있습니다.""","submission	array	Y	id array  ex) [""submission1"", ""submission2"", ""submission3""]
processMsg	String	N	
resolveCallback	function	N	function
rejectCallback	function	N	function
id	String	N",	,,"<xmp  class='js sample'>$p.executeSerial( [""submission1"", ""submission2"", ""submission3""], ""processMsg"",final_callback, reject_callback) ;
//submission1 call/callback -> submission2 call/callback -> submission3 call/callback -> final_callback or reject_callback</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
15,method,$p,executeSubmission,submissionID에 해당하는 submission을 실행시킨다.,"submissionID	String	Y	submission의 id.
requestData	Object	N	요청 데이터
obj	Object	N	전송중 disable시킬 컴퍼넌트",	,,"<xmp  class='js sample'>$p.executeSubmission (""submission1"") ;
//id가 submission1인 submission을 실행.</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
16,method,$p,executeWhilst,특정 submission을 반복적으로 호출하기 위해 workflow를 생성하지 않고 사용할 수 있습니다.,"submission	String	Y	ID
condFn	function	Y	실행여부를 체크하는 pre function
maxRepeat	int	Y	최대실행 회수. conditon으로만 체크가능한 경우에는 무한루프에 대한 제어용으로도 사용가능
processMsg	String	N	
resolveCallback	function	N	function
rejectCallback	function	N	function
id	String	N",	,,"<xmp  class='js sample'>$p.executeWhilst( ""submission1"", cond_check, 100, ""processMsg"",final_callback, reject_callback, id) ;
//submission 을 cond_check sucess 이고 100회 미만 까지 반복 call/callback 수행 
// -> final_callback or reject_callback</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
17,method,$p,executeWorkflow,workflowId 또는 workflowObj를 받아서 workflow를 실행합니다.,workflowId	Object	Y	workflow 아이디 or workflowObj,	,,"<xmp  class='js sample'>$p.executeWorkflow (""workflow1"") ;
//workflowCollection/workflow id가 workflow1인 workflow를 실행. 
//또는
var workflowObj= {""id"":""workflow1"", ""processMsg"" : ""workflow실행 중입니다.. "",
     ""step"" : [{ ""type"":""submit"", ""action"" : ""submission1""},
                  { ""type"":""submit"",""pre"": cond, ""action"" : ""submission2""},
                  { ""type"":""submitDone"", ""action"" : ""submission1"", ""post"":post},
                  { ""type"":""submitDone"", ""action"" : ""submission2"", ""post"":post}   ],
                  ""resolveCallback"" : final_callback,
                  ""rejectCallback"": reject_callback
                  } ;
$p.executeWorkflow  (workflowObj) ;
//workflowObj object로 workflow를 실행.</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
18,method,$p,getAllBASE64Parameter,"get 방식으로 전달된 모든 parameter가 Base64로 인코딩되어 있을 경우, 해당 parameter들을 Base64 디코딩하여 JSON 형태로 반환합니다.",,	,,"<xmp  class='js sample'>
$p.getAllBASE64Parameter();</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
19,method,$p,getAllParameter,get방식으로 넘어 온 parameter 전체를 JSON 형태로 반환합니다.,,	,,"<xmp  class='js sample'>
var getParam = $p.getAllParameter();</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
20,method,$p,getAllPopupList,현재 열려있는 모든 popup 객체를 반환한다.<br />scope 및 popup type에 관계없이 열려있는 모든 팝업 객체를 전부 반환한다.,id	String	Y	popup의 id,Array	열려있는 모든 popup 객체들의 배열,,"<xmp  class='js sample'>var popList = $p.getAllPopupList();
for (var i = popList.length - 1; i >= 0; i-- ) { 
   $p.closePopup(popList[i].id);  // 열려있는 모든 popup을 닫는다. 닫을 때마다 popList가 제거되므로 array를 역순으로 돌아야 한다.
}
</xmp>",5.0_5.4800A.20230131.135537,5.0_5.4811B.20230203.095105
21,method,$p,getAllPopupWindowList,"현재 열린 모든 팝업 객체의 창(window)을 반환합니다. 반환된 창 객체를 사용하여 팝업 내부의 구성 요소, 변수, API에 액세스할 수 있습니다.",bMain	Boolean	N	iframe또는 browserPopup일 때 반환된 window의 $p.main()을 실행한 결과를 반환할지에 대한 여부,Array	열려있는 모든 popup 객체들의 window 객체들의 배열,,"<xmp  class='js sample'>var popWinList = $p.getAllPopupWindowList(true);
for (var i = 0; i < popWinList.length; i++ ) { 
   popWinList.scwin.test(); // 열려있는 모든 popup의 scwin.test함수를 호출하는 예제 
}
</xmp>",5.0_5.4800A.20230131.135537,5.0_5.4811B.20230203.095105
22,method,$p,getBASE64Parameter,Base64로 Encoding 된 get 방식의 매개 변수(param)를 Base64 Decoding하여 반환하는 함수입니다.,param	String	N	값을 가져올 uri에서 지정된 param,String	param 문자열 반환,"parameter가 존재하지 않는 경우에는 """"이 반환","$p.getBASE64Parameter(""name"");",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
23,method,$p,getComponentById,주어진 id에 해당하는 웹스퀘어 컴포넌트를 반환합니다. scope=true 인 다중 wframe 구조에서는 $p 객체의 scope에 해당하는 화면(보통은 이 함수를 호출한 화면)에 있는 원래 id를 기준으로 찾습니다.,,Object	id에 해당하는 컴포넌트 객체 (다중 wframe 구조에서는 $p에 해당하는 wframe 화면 내에서 id와 일치하는 컴포넌트 반환),,"$p.getComponentById(""trigger1""); // 다중 wframe 구조에서 $p의 scope에 해당하는 화면의 ""trigger1"" 객체를 반환한다.",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
24,method,$p,getCurrentServerDate,"이 함수는 WAS의 현재 시간을 반환합니다. Java의 SimpleDateFormat의 패턴을 인자로 받아 시간을 표현합니다. 만약 패턴을 입력하지 않으면, yyyyMMdd 패턴의 결과를 반환합니다.",pattern	String	N	[default:yyyyMMdd] 날짜 표현식,String	서버 날짜(시간) String,,"<xmp  class='js sample'>// y        Year                        1996; 96
//M         Month in year               07
//d         Day in month                10
//H         Hour in day (0-23)          0
//m         Minute in hour              30
//s         Second in minute            55
//S         Millisecond                 978

var dateStr = $p.getCurrentServerDate(); //yyyyMMdd
return; //예시 ) dateStr : 20111225

var dateStr = $p.getCurrentServerDate(""yyyy-MM-dd HH:mm:ss"");
return; //예시 ) dateStr : 2014-11-07 15:49:10:080</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
25,method,$p,getEventTarget,"이벤트로 등록된 함수에서 this를 인자로 전달해 getEventTarget API를 호출하면, 호출한 컴포넌트 정보를 반환합니다.",,Object	웹스퀘어 컴포넌트의 pluginName 및 id 정보를 갖는 객체,,"<xmp  class='js sample'>//(사용 예)
scwin.trigger01_click = function(e) {
    var info = $p.getEventTarget(this);
}

//(반환 정보)
//{
//      ""pluginName"": ""플러그인 이름"",
//       ""id"": ""개발 소스에 입력한 실제 id""
//}</xmp>",5.0_4.4247A.20201207.104048,5.0_5.4811B.20230203.095105
26,method,$p,getFormattedDate,"주어진 JavaScript Date 객체를 받아, 지정된 형식으로 반환합니다. 만약 패턴을 입력하지 않은 경우, Java의 System.currentTimeMillis API와 같은 값을 반환합니다.","dateObj	DateObject	Y	JavaScript의 date객체
pattern	String	N	날짜 표현식",String	지정된 format으로 시간을 반환,,"<xmp  class='js sample'>//날짜 표현식
//y         Year                        1996; 96
//M         Month in year               07
//d         Day in month                10
//H         Hour in day (0-23)          0
//m         Minute in hour              30
//s         Second in minute            55
//S         Millisecond                 978

var dateObj = new Date();
var dateStr = $p.getFormattedDate ( dateObj, ""MM.yyyy"" );
return 예시 ) dateStr : 11.2014</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
27,method,$p,getFrame,"만약 wframe 안의 스크립트 영역에서 이 함수를 호출하면, 자신을 감싼 wframe object를 반환합니다. 그러나 전역 스크립트에서 이 함수를 호출하면 null을 반환합니다.",,Object	wframe 객체,,"<xmp  class='js sample'> // main.xml 안에 <w2:wframe id='wframe1' src='sub.xml'/> 있는 경우
 $p.getFrame();
 // sub.xml에서 위 스크립트 실행 시 wframe1객체가 반환된다. 
 // main.xml에서 위 스크립트를 실행하면 null을 반환한다.</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
28,method,$p,getFrameId,"만약 wframe 내 스크립트 영역에서 이 함수를 호출하면, 함수는 자신이 속한 wframe id를 반환합니다. 반면 전역 스크립트에서 이 함수를 호출하면 해당 함수는 null 값을 반환합니다.",,String	wframe의 id,,"<xmp  class='js sample'> // main.xml 안에 <w2:wframe id='wframe1' src='sub.xml'/> 있는 경우
 $p.getFrameId();
 // sub.xml에서 위 스크립트 실행 시 'wframe1'을 반환한다. 
 // main.xml에서 위 스크립트를 실행하면 null을 반환한다.</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
29,method,$p,getIntervalKeyList,setInterval API의 key로 등록된 값 전체가 배열로 반환됩니다.,,Array	setInterval에 등록 된 key 배열,,"<xmp  class='js sample'>var IntervalKeyList = $p.getIntervalKeyList();
for(var i = 0; i < IntervalKeyList.length; i++) { $p.clearInterval(IntervalKeyList[i]); } // 등록된 타이머를 전부 제거</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
30,method,$p,getMaxMinYear,config파일에 설정 된 date 설정의 maxYear 와 minYear 값을 JSON로 반환합니다.,,"JSON	config.xml에 설정 되어있는 maxYear,minYear 값.<br />
<xmp class='js description'><Number> maxYear [default:2099] config.xml에 설정 되어있는 maxYear.
<Number> minYear [default:1901] config.xml에 설정 되어있는 minYear.</xmp>",,"<xmp  class='js sample'>config.xml 에서 아래와 같이 정의된 설정값을 기본값으로 합니다.
<websquare>
    <date>
        <maxYear value=""2099"" />
        <minYear value=""1000"" />
    </date>
</websquare>

var maxMinYear = $p.getMaxMinYear();
//return 예시 ) maxMinYear.maxYear : 2099 (yyyy)
//return 예시 ) maxMinYear.minYear : 1000 (yyyy)</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
31,method,$p,getMetaValue,Head 영역에 정의된 메타 키에 해당하는 값을 반환합니다.,key	String	Y	Meta정보의 key,	,,,5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
32,method,$p,getParameter,"get 방식으로 전달된 parameter 또는 openPopup API의 dataObject에서 정의한 값을 반환합니다. 만약 한글 parameter를 전달하는 경우, WebSquare.text.URLEncoder를 사용하여 값을 인코딩해야 합니다. 만약 웹스퀘어의 URLEncoding을 사용하지 않으려면 config 파일에 아래와 같은 설정을 추가해야 합니다.  

<xmp>
<net>
    <websquareDecoder value=""false"" />
<net>
</xmp>",param	String	Y	값을 가져올 uri에서 지정된 param 또는 openPopup API에 정의 한 dataObject의 name에 정의 한 값.,"String|JSON	url에 정의 한 param 문자열. 또는 openPopup에 정의 한 dataObject. parameter가 존재하지 않는 경우에는 """"이 반환.",,"<xmp  class='js sample'>//URL : http://localhost:8080/websquare/websquare.html?w2xPath=/test.xml&&userID=1234
var tmpUserID = $p.getParameter(""userID"");
//return 예시 ) ""1234""

//$p.openPopup의 dataObject 속성을 아래와 같이 지정한 경우
//dataObject : { type : ""json"", data : {name:""WebSquare"",addr:""서울시""}, name : ""rowObj"" }
var popRowObj =  $p.getParameter(""rowObj"");
//return 예시 ) {name:""WebSquare"",addr:""서울시""} //type : JSON 객체</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
33,method,$p,getPopupParam,"openPopup API를 사용하여 팝업을 만들 때, 정의한 값이 dataObject 속성 또는 xml 속성에 지정되며 이 값을 문자열로 반환합니다. dataObject 속성과 xml 속성이 모두 정의된 경우, dataObject 속성의 값만 반환됩니다. dataObject 속성을 사용한 경우 ""dataObject의 이름에 할당한 값""에 $p.getParameter() API를 사용하는 것이 좋습니다.",,String	popup을 만들때 dataObject 속성 또는 xml 속성에 정의 한 값의 string.,,"<xmp  class='js sample'>//openPopup API의 dataObject 속성을 아래와 같이 정의 한 경우
//dataObejct : {type:""json"" , name:""tmpData"" , data:{""test"":""WebSquare""}}
var dataStr = $p.getPopupParam();
//return 예시 ) {""test"":""WebSquare""}</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
34,method,$p,getPopupUrl,"이 함수는 팝업 창에서 실행되며, 현재 창의 URL을 가져오는 기능입니다. 이 함수는 wframe을 사용하여 팝업 창을 열 때 필요합니다.",,String	현재 화면의 url을 반환한다. wframe내에서 해당 함수 호출 시 wframe 화면의 url을 가져온다.,,,5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
35,method,$p,getPopupWindow,openPopup API에 정의한 id로 검색하여 해당 popup의 window를 반환한다.<br />popup안의 컴포넌트 및 전역변수 등에 접근이 가능한다.,id	String	Y	popup의 id,Object	해당 popup의 window,,"<xmp  class='js sample'>//팝업의 id가 popup1인 경우의 window 객체 반환
var popWinObj = $p.getPopupWindow(""popup1"");

//자식창 선언 예)scwin.tmpVal = ""tmpVal"";
//팝업에 tmpVal로 선언 된 전역 변수 접근시 
var popTmpVal = popWinObj.scwin.tmpVal;

//팝업에 input1의 ID를 가진 컴포넌트의 value 값 가져오기
var popInputVal = popWinObj.input1.getValue();</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
36,method,$p,getPopupWindowList,"wframePopup와 iframePopup 객체의 window를 반환하여 p와 동일한 scope를 갖는다.<br />반환된 window 객체를 통해 팝업 내부의 컴포넌트, 변수, API에 액세스할 수 있다.<br />scope 또는 팝업 유형과 관계없이 모든 팝업에 액세스하려면 getAllPopupList 또는 getAllPopupWindowList를 대신 호출해야 합니다.","useFrameModal	Boolean	N	frameModal 기능을 사용하는 popup을 가져올 때 사용
scope	String	N	popup 창을 가져올 scope를 지정. 값이 없으면 이 함수를 호출한 화면의 scope를 자동으로 가져옴.
bMain	Boolean	N	iframe또는 browserPopup일 때 반환된 window의 $p.main()을 실행한 결과를 반환할지에 대한 여부",Array	window 목록,,"<xmp  class='js sample'>// $p와 동일한 scope를 가진 팝업의 window 객체들을 반환
var popWinObj = $p.getPopupWindowList();</xmp>",5.0_4.4010B.20200424.140331,5.0_5.4811B.20230203.095105
37,method,$p,getRunningWorkflow,현재 실행 중인 첫 번째 workflow 객체를 반환합니다.,workflowID	String	N	workflow 아이디,Object	실행 중인 workflow object,,"<xmp  class='js sample'>//실행이 진행되는 구간(condition, defaultCallback, callback, finalCallback, rejectCallback등) 에서만 객체를 구할 수 있음
//완료된 submission들의 실행결과 객체는 workflowObj.result 로 구할 수있음
var workflowObj = $p.getRunningWorkflow( );
</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
38,method,$p,getRunningWorkflowID,현재 실행 중인 Workflow ID를 반환합니다.,,String	실행중인 workflow ID,,"<xmp  class='js sample'>//실행중인 workflow ID 반환
var runID = $p.getRunningWorkflowID( );
</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
